matrix_size,threads,time_seconds
256,1,0.017079
256,2,0.007980
256,4,0.006959
256,8,0.006055
256,16,0.004505
512,1,0.093867
512,2,0.050333
512,4,0.031033
512,8,0.025020
512,16,0.019467
1024,1,0.601627
1024,2,0.366130
1024,4,0.253721
1024,8,0.161354
1024,16,0.128131
2048,1,5.145905
2048,2,2.943183
2048,4,2.028896
2048,8,1.228577
2048,16,0.984467
