matrix_size,threads,time_seconds
256,1,0.065369
256,2,0.042357
256,4,0.028954
256,8,0.090572
256,16,0.034934
512,1,0.536009
512,2,0.280917
512,4,0.178923
512,8,0.140283
512,16,0.171990
1024,1,4.397024
1024,2,2.660699
1024,4,1.724677
1024,8,1.667273
1024,16,1.793839
2048,1,64.784193
2048,2,41.269423
2048,4,29.248604
2048,8,24.315079
2048,16,23.827839
