matrix_size,threads,time_seconds
256,1,0.011417
256,2,0.005109
256,4,0.004785
256,8,0.002933
512,1,0.091632
512,2,0.050201
512,4,0.030136
512,8,0.024241
1024,1,0.547610
1024,2,0.318663
1024,4,0.215996
1024,8,0.184575
2048,1,5.903698
2048,2,3.180658
2048,4,2.240596
2048,8,2.012993
