matrix_size,threads,time_seconds
256,1,0.000790
256,2,0.000695
256,4,0.000553
256,8,0.001090
256,16,0.001799
512,1,0.000793
512,2,0.001011
512,4,0.000990
512,8,0.001648
512,16,0.001877
1024,1,0.003525
1024,2,0.002530
1024,4,0.001958
1024,8,0.002113
1024,16,0.002377
2048,1,0.006187
2048,2,0.005981
2048,4,0.006897
2048,8,0.005098
2048,16,0.004948
