matrix_size,threads,time_seconds
256,1,0.000678
256,2,0.000604
256,4,0.000842
256,8,0.000955
256,16,0.001682
512,1,0.001811
512,2,0.001674
512,4,0.001628
512,8,0.001785
512,16,0.001760
1024,1,0.007496
1024,2,0.006417
1024,4,0.005642
1024,8,0.005474
1024,16,0.004955
2048,1,0.048840
2048,2,0.042938
2048,4,0.037351
2048,8,0.020198
2048,16,0.024462
