matrix_size,threads,time_seconds
256,1,0.001192
256,2,0.000818
256,4,0.000932
256,8,0.001623
256,16,0.002561
512,1,0.001837
512,2,0.001749
512,4,0.001543
512,8,0.001327
512,16,0.002260
1024,1,0.005831
1024,2,0.006388
1024,4,0.003268
1024,8,0.003461
1024,16,0.003410
2048,1,0.021666
2048,2,0.018032
2048,4,0.015923
2048,8,0.015431
2048,16,0.015015
