matrix_size,threads,time_seconds
256,1,0.000931
256,2,0.000769
256,4,0.001049
256,8,0.001289
256,16,0.001679
512,1,0.002848
512,2,0.001828
512,4,0.002076
512,8,0.001700
512,16,0.003027
1024,1,0.028952
1024,2,0.005915
1024,4,0.005117
1024,8,0.004275
1024,16,0.008938
2048,1,0.145970
2048,2,0.066138
2048,4,0.038399
2048,8,0.016455
2048,16,0.014933
