matrix_size,threads,time_seconds
256,1,0.001091
256,2,0.000463
256,4,0.000460
256,8,0.000594
256,16,0.000807
512,1,0.003907
512,2,0.001490
512,4,0.001432
512,8,0.001697
512,16,0.001583
1024,1,0.026233
1024,2,0.007772
1024,4,0.008275
1024,8,0.008902
1024,16,0.008763
2048,1,0.126486
2048,2,0.060523
2048,4,0.067035
2048,8,0.036651
2048,16,0.036906
